# Annotated with Bakta
# Software: v1.11.4
# Database: v6.0, light
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Score	Evalue	Query Cov	Subject Cov	Id	Accession
contig_1	cds	3	98	+	KOIAIB_00001	-	-	-	-	-	-
contig_1	ncRNA-region	191	310	+	-	122.2	1.2e-21	-	-	-	RFAM:RF00506
contig_1	cds	337	2799	+	KOIAIB_00002	1280.0	0.0	1.123	1.0	0.736	UniRef:UniRef50_P00561
contig_1	cds	2801	3733	+	KOIAIB_00003	378.0	2.0e-130	1.003	0.994	0.559	UniRef:UniRef50_Q493S9
contig_1	cds	3734	5020	+	KOIAIB_00004	508.0	1.6e-177	1.014	0.980	0.611	UniRef:UniRef50_A0A0E3Y743
contig_1	cds	5234	5530	+	KOIAIB_00005	-	-	-	-	-	-
contig_1	cds	5683	6459	-	KOIAIB_00006	376.0	3.3e-131	0.992	0.992	0.742	UniRef:UniRef50_A0A6I6EGM8
contig_1	cds	6529	7959	-	KOIAIB_00007	778.0	2.4e-282	1.0	0.924	0.813	UniRef:UniRef50_P30143
contig_1	cds	8238	9191	+	KOIAIB_00008	374.0	3.4e-128	0.981	0.937	0.605	UniRef:UniRef50_P45055
contig_1	cds	9306	9893	+	KOIAIB_00009	244.0	5.4e-81	0.979	0.970	0.670	UniRef:UniRef50_A0A0A2Z689
contig_1	cds	9928	10494	-	KOIAIB_00010	207.0	2.4e-66	0.989	0.842	0.597	UniRef:UniRef50_A0A2N8ZEZ0
contig_1	cds	10643	11356	-	KOIAIB_00011	394.0	7.6e-139	0.987	0.900	0.876	UniRef:UniRef50_P58316
contig_1	cds	11382	11786	-	KOIAIB_00012	-	-	-	-	-	-
contig_1	cds	12163	14079	+	KOIAIB_00013	1041.0	0.0	1.157	1.003	0.787	UniRef:UniRef50_P43736
contig_1	ncRNA	14090	14167	+	KOIAIB_00014	69.6	4.0e-13	-	-	-	RFAM:RF02031
contig_1	cds	14168	15298	+	KOIAIB_00015	465.0	2.8e-162	1.013	0.967	0.661	UniRef:UniRef50_A0A4R1HEE6
contig_1	cds	15445	16557	+	KOIAIB_00016	439.0	1.9e-152	0.981	0.986	0.614	UniRef:UniRef50_A0A376S056
contig_1	cds	16580	16720	+	KOIAIB_00017	-	-	-	-	-	-
contig_1	cds	16751	16903	-	KOIAIB_00018	81.3	6.4e-21	1.0	0.833	0.800	UniRef:UniRef50_L0M326
contig_1	ncRNA	16901	17053	-	KOIAIB_00019	118.4	1.5e-19	-	-	-	RFAM:RF01794
contig_1	cds	17489	18655	+	KOIAIB_00020	454.0	3.1e-157	0.964	0.842	0.636	UniRef:UniRef50_A8G9L0
contig_1	cds	18721	19620	+	KOIAIB_00021	484.0	4.6e-172	0.990	0.905	0.784	UniRef:UniRef50_P0A9G2
contig_1	cds	19811	20188	-	KOIAIB_00022	252.0	2.7e-86	0.984	0.837	1.0	UniRef:UniRef50_A0A899NDL5
