# Annotated with Bakta
# Software: v1.11.4
# Database: v6.0, light
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	2	1423	+	OBDLAM_00001	dnaA	(5' truncated) Chromosomal replication initiator protein DnaA	SO:0001217, UniRef:UniRef50_A0A1C4E0M5
contig_1	ncRNA	530	610	-	OBDLAM_00002	asdA	antisense RNA of dnaA mRNA	RFAM:RF02674, SO:0000644
contig_1	cds	1428	2528	+	OBDLAM_00003		Beta sliding clamp	SO:0001217, UniRef:UniRef50_A0A7U3M6B6
contig_1	cds	2528	3601	+	OBDLAM_00004	recF	DNA replication and repair protein RecF	SO:0001217, UniRef:UniRef50_P0A7H0
contig_1	cds	3630	6044	+	OBDLAM_00005		DNA gyrase subunit B	SO:0001217, UniRef:UniRef50_A0A0S2JCA5
contig_1	ncRNA	6087	6129	-	OBDLAM_00006	ES036	ES036 (CssrF) sRNA	RFAM:RF02751, SO:0000655
contig_1	cds	6284	6682	+	OBDLAM_00007	yidB	Uncharacterized protein YidB	SO:0001217, UniRef:UniRef50_P09996
contig_1	cds	6797	7609	+	OBDLAM_00008	yidA	Sugar phosphatase YidA	SO:0001217, UniRef:UniRef50_A0A083ZUP3
contig_1	cds	7655	8311	-	OBDLAM_00009	yidX	Uncharacterized protein YidX	SO:0001217, UniRef:UniRef50_P0ADM6
contig_1	cds	8589	9278	+	OBDLAM_00010	dgoR	D-galactonate utilization transcriptional regulator DgoR	BlastRules:WP_000174305, SO:0001217, UniRef:UniRef50_P31460
contig_1	cds	9275	10153	+	OBDLAM_00011	dgoK	2-dehydro-3-deoxygalactonokinase	BlastRules:WP_000127091, EC:2.7.1.58, SO:0001217, UniRef:UniRef50_P31459
contig_1	cds	10137	10754	+	OBDLAM_00012	dgoA	2-dehydro-3-deoxy-6-phosphogalactonate aldolase	BlastRules:WP_001198722, EC:4.1.2.21, SO:0001217, UniRef:UniRef50_Q6BF16
contig_1	cds	10751	11899	+	OBDLAM_00013		D-galactonate dehydratase	SO:0001217, UniRef:UniRef50_Q8ZKZ1
contig_1	cds	12019	13311	+	OBDLAM_00014		MFS transporter	SO:0001217, UniRef:UniRef50_A0A1V9DAV9
contig_1	cds	13308	13715	-	OBDLAM_00015		hypothetical protein	
contig_1	cds	13761	14372	-	OBDLAM_00016		hypothetical protein	
contig_1	cds	14473	15687	+	OBDLAM_00017		Putative Dipeptidyl aminopeptidases /acylaminoacyl-peptidase	SO:0001217, UniRef:UniRef50_A0A658YVY0
contig_1	cds	15689	15949	-	OBDLAM_00018		hypothetical protein	
contig_1	ncRNA-region	16261	16333	+			Repression of heat shock gene expression (ROSE) element	RFAM:RF01832, SO:0002168
contig_1	cds	16327	16740	+	OBDLAM_00019	ibpA	Small heat shock protein IbpA	SO:0001217, UniRef:UniRef50_E0SEQ3
contig_1	cds	16852	17280	+	OBDLAM_00020	ibpB	Small heat shock protein IbpB	SO:0001217, UniRef:UniRef50_A8G7R9
contig_1	cds	17476	19137	+	OBDLAM_00021	yidE	Putative transport protein YidE	SO:0001217, UniRef:UniRef50_B7LK27
