# Annotated with Bakta
# Software: v1.11.4
# Database: v6.0, light
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	3	98	+	KOIAIB_00001		(5' truncated) hypothetical protein	
contig_1	ncRNA-region	191	310	+			Threonine operon leader	RFAM:RF00506, SO:0000140
contig_1	cds	337	2799	+	KOIAIB_00002		Bifunctional aspartokinase/homoserine dehydrogenase 1	SO:0001217, UniRef:UniRef50_P00561
contig_1	cds	2801	3733	+	KOIAIB_00003		Homoserine kinase	SO:0001217, UniRef:UniRef50_Q493S9
contig_1	cds	3734	5020	+	KOIAIB_00004		Threonine synthase	SO:0001217, UniRef:UniRef50_A0A0E3Y743
contig_1	cds	5234	5530	+	KOIAIB_00005		hypothetical protein	
contig_1	cds	5683	6459	-	KOIAIB_00006		UPF0246 protein GN242_17910	SO:0001217, UniRef:UniRef50_A0A6I6EGM8
contig_1	cds	6529	7959	-	KOIAIB_00007	yaaJ	Uncharacterized transporter YaaJ	SO:0001217, UniRef:UniRef50_P30143
contig_1	cds	8238	9191	+	KOIAIB_00008		transaldolase B	BlastRules:WP_000130175, SO:0001217, UniRef:UniRef50_P45055
contig_1	cds	9306	9893	+	KOIAIB_00009	mogA	Molybdenum cofactor biosynthesis protein MogA	SO:0001217, UniRef:UniRef50_A0A0A2Z689
contig_1	cds	9928	10494	-	KOIAIB_00010	yaaH	Inner membrane protein YaaH	SO:0001217, UniRef:UniRef50_A0A2N8ZEZ0
contig_1	cds	10643	11356	-	KOIAIB_00011	yaaW	UPF0174 protein YaaW	SO:0001217, UniRef:UniRef50_P58316
contig_1	cds	11382	11786	-	KOIAIB_00012		hypothetical protein	
contig_1	cds	12163	14079	+	KOIAIB_00013	dnaK	Chaperone protein DnaK	SO:0001217, UniRef:UniRef50_P43736
contig_1	ncRNA	14090	14167	+	KOIAIB_00014	tpke11	tpke11	RFAM:RF02031, SO:0000655
contig_1	cds	14168	15298	+	KOIAIB_00015	dnaJ	Chaperone protein DnaJ	SO:0001217, UniRef:UniRef50_A0A4R1HEE6
contig_1	cds	15445	16557	+	KOIAIB_00016	tnp	IS4 family IS421 transposase	IS:IS421, SO:0001217, UniRef:UniRef50_A0A376S056
contig_1	cds	16580	16720	+	KOIAIB_00017		hypothetical protein	
contig_1	cds	16751	16903	-	KOIAIB_00018	mokC	type I toxin-antitoxin system toxin MokC	BlastRules:WP_000809168, SO:0001217, UniRef:UniRef50_L0M326
contig_1	ncRNA	16901	17053	-	KOIAIB_00019	sok	sok antitoxin (CssrC)	RFAM:RF01794, SO:0000655
contig_1	cds	17489	18655	+	KOIAIB_00020	nhaA	Na(+)/H(+) antiporter NhaA	SO:0001217, UniRef:UniRef50_A8G9L0
contig_1	cds	18721	19620	+	KOIAIB_00021	nhaR	Transcriptional activator protein NhaR	SO:0001217, UniRef:UniRef50_P0A9G2
contig_1	cds	19811	20188	-	KOIAIB_00022		IS1 transposase	SO:0001217, UniRef:UniRef50_A0A899NDL5
contig_1	cds	20233	20508	-	KOIAIB_00023	tnp	IS1 family IS1A transposase ORF A	IS:IS1A, SO:0001217, UniRef:UniRef50_P19763
contig_1	cds	20815	21078	-	KOIAIB_00024		Small ribosomal subunit protein bS20	SO:0001217, UniRef:UniRef50_P57251
contig_1	cds	21407	22348	+	KOIAIB_00025		Riboflavin biosynthesis protein	SO:0001217, UniRef:UniRef50_Q7N8X3
contig_1	cds	22391	25207	+	KOIAIB_00026		Isoleucine--tRNA ligase	SO:0001217, UniRef:UniRef50_Q8ZIM0
contig_1	cds	25207	25701	+	KOIAIB_00027		Lipoprotein signal peptidase	SO:0001217, UniRef:UniRef50_Q9KU46
contig_1	cds	25826	26275	+	KOIAIB_00028		Peptidyl-prolyl cis-trans isomerase	SO:0001217, UniRef:UniRef50_A0A376DLB2
contig_1	cds	26277	27227	+	KOIAIB_00029		4-hydroxy-3-methylbut-2-enyl diphosphate reductase	SO:0001217, UniRef:UniRef50_A0A5J6QFE6
contig_1	cds	27293	28207	+	KOIAIB_00030	rihC	Non-specific ribonucleoside hydrolase RihC	SO:0001217, UniRef:UniRef50_P22564
contig_1	cds	28374	29195	+	KOIAIB_00031		4-hydroxy-tetrahydrodipicolinate reductase	SO:0001217, UniRef:UniRef50_Q2NVY2
contig_1	ncRNA	29551	29603	+	KOIAIB_00032	ES003	ES003 sRNA	RFAM:RF02750, SO:0000655
