#Annotated with Bakta v1.11.4, https://github.com/oschwengers/bakta
#Database v6.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_1	13308	13715	-	OBDLAM_00015	15.3	10.1		
contig_1	13761	14372	-	OBDLAM_00016	23.1	8.8		
contig_1	15689	15949	-	OBDLAM_00018	9.3	5.2		
contig_1	22400	22576	+	OBDLAM_00025	6.6	5.6	PF11975.13|Glyco_hydro_4C	PFAM:PF11975.13
contig_1	26885	27334	-	OBDLAM_00029	15.7	9.1		
contig_1	32657	32947	+	OBDLAM_00038	11.1	5.7	PF01842.31|ACT, PF13710.12|ACT_5, PF22629.2|ACT_AHAS_ss	PFAM:PF01842.31, PFAM:PF13710.12, PFAM:PF22629.2
contig_1	43756	43941	+	OBDLAM_00048	6.4	8.9		
contig_1	96292	97551	-	OBDLAM_00100	46.6	9.9	PF01551.29|Peptidase_M23	PFAM:PF01551.29
contig_1	129635	129847	-	OBDLAM_00127	8.0	8.7		SO:0001217, UniRef:UniRef50_A0A0H3PXU3
contig_1	188404	188607	+	OBDLAM_00189	7.2	4.9	PF02374.21|ArsA_ATPase, PF06564.18|CBP_BcsQ, PF13614.12|AAA_31	PFAM:PF02374.21, PFAM:PF06564.18, PFAM:PF13614.12
contig_1	225217	225495	+	OBDLAM_00213	9.8	9.8		SO:0001217, UniRef:UniRef50_A0A2S8JRI1
contig_1	318409	318690	+	OBDLAM_00302	10.1	7.8		
contig_1	418508	419491	-	OBDLAM_00396	37.6	5.6	PF03934.19|T2SSK, PF21687.3|T2SSK_1st	PFAM:PF03934.19, PFAM:PF21687.3
contig_1	464131	464421	+	OBDLAM_00463	11.0	9.1		SO:0001217, UniRef:UniRef50_J7QA02
contig_1	468950	469171	+	OBDLAM_00466	8.4	8.1	PF00440.29|TetR_N	PFAM:PF00440.29
contig_1	469178	469612	+	OBDLAM_00467	16.5	5.1	PF08359.16|TetR_C_4, PF08361.16|TetR_C_2	PFAM:PF08359.16, PFAM:PF08361.16
contig_1	496614	496877	-	OBDLAM_00494	9.2	5.7	PF07338.18|YdgH_BhsA-like	PFAM:PF07338.18
contig_1	514773	515489	-	OBDLAM_00513	24.9	8.5		
contig_1	546029	546307	-	OBDLAM_00544	10.5	9.9	PF13693.12|HTH_35	PFAM:PF13693.12
contig_1	594192	594893	-	OBDLAM_00594	25.9	5.5	PF01182.26|Glucosamine_iso	PFAM:PF01182.26
contig_1	599592	600164	-	OBDLAM_00600	19.8	6.4	PF01979.26|Amidohydro_1	PFAM:PF01979.26
contig_1	695415	696146	-	OBDLAM_00696	27.6	6.0	PF13954.11|PapC_N	PFAM:PF13954.11
contig_1	747718	747981	-	OBDLAM_00753	9.8	6.7	PF24996.1|NANM	PFAM:PF24996.1
contig_1	771638	772093	-	OBDLAM_00781	17.8	9.8	PF10263.15|SprT-like, PF17283.8|Zn_ribbon_SprT	PFAM:PF10263.15, PFAM:PF17283.8
contig_1	823070	823780	+	OBDLAM_00831	25.6	6.3	PF01323.26|DSBA, PF10411.14|DsbC_N, PF13098.12|Thioredoxin_2	PFAM:PF01323.26, PFAM:PF10411.14, PFAM:PF13098.12
contig_1	867631	867993	+	OBDLAM_00866	13.9	7.8		
contig_1	868061	868264	+	OBDLAM_00867	8.3	9.2		
contig_1	872300	872479	+	OBDLAM_00875	6.8	8.0		
contig_1	879391	879837	-	OBDLAM_00885	16.9	8.9		
contig_1	880031	880456	+	OBDLAM_00886	16.3	9.0		
