# Annotated with Bakta
# Software: v1.11.4
# Database: v6.0, light
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Score	Evalue	Query Cov	Subject Cov	Id	Accession
contig_1	cds	2	1423	+	OBDLAM_00001	869.0	0.0	1.002	1.002	0.947	UniRef:UniRef50_A0A1C4E0M5
contig_1	ncRNA	530	610	-	OBDLAM_00002	102.0	7.3e-20	-	-	-	RFAM:RF02674
contig_1	cds	1428	2528	+	OBDLAM_00003	574.0	5.1e-207	0.809	0.964	0.970	UniRef:UniRef50_A0A7U3M6B6
contig_1	cds	2528	3601	+	OBDLAM_00004	572.0	1.7e-204	0.994	0.831	0.797	UniRef:UniRef50_P0A7H0
contig_1	cds	3630	6044	+	OBDLAM_00005	1097.0	0.0	1.011	0.996	0.683	UniRef:UniRef50_A0A0S2JCA5
contig_1	ncRNA	6087	6129	-	OBDLAM_00006	46.3	4.8e-06	-	-	-	RFAM:RF02751
contig_1	cds	6284	6682	+	OBDLAM_00007	243.0	2.4e-82	0.970	0.865	1.0	UniRef:UniRef50_P09996
contig_1	cds	6797	7609	+	OBDLAM_00008	351.0	4.4e-120	1.0	0.826	0.656	UniRef:UniRef50_A0A083ZUP3
contig_1	cds	7655	8311	-	OBDLAM_00009	434.0	6.4e-155	1.0	0.848	1.0	UniRef:UniRef50_P0ADM6
contig_1	cds	8589	9278	+	OBDLAM_00010	349.0	5.9e-121	0.996	0.864	0.789	UniRef:UniRef50_P31460
contig_1	cds	9275	10153	+	OBDLAM_00011	560.0	3.6e-202	1.158	1.0	0.858	UniRef:UniRef50_P31459
contig_1	cds	10137	10754	+	OBDLAM_00012	361.0	1.0e-126	0.995	0.911	0.887	UniRef:UniRef50_Q6BF16
contig_1	cds	10751	11899	+	OBDLAM_00013	684.0	2.0e-248	1.110	1.0	0.790	UniRef:UniRef50_Q8ZKZ1
contig_1	cds	12019	13311	+	OBDLAM_00014	783.0	4.2e-286	0.998	0.927	0.890	UniRef:UniRef50_A0A1V9DAV9
contig_1	cds	13308	13715	-	OBDLAM_00015	-	-	-	-	-	-
contig_1	cds	13761	14372	-	OBDLAM_00016	-	-	-	-	-	-
contig_1	cds	14473	15687	+	OBDLAM_00017	716.0	1.3e-261	0.832	0.916	0.982	UniRef:UniRef50_A0A658YVY0
contig_1	cds	15689	15949	-	OBDLAM_00018	-	-	-	-	-	-
contig_1	ncRNA-region	16261	16333	+	-	100.5	1.6e-16	-	-	-	RFAM:RF01832
contig_1	cds	16327	16740	+	OBDLAM_00019	163.0	7.8e-51	1.007	0.986	0.616	UniRef:UniRef50_E0SEQ3
contig_1	cds	16852	17280	+	OBDLAM_00020	170.0	2.1e-53	0.993	0.959	0.603	UniRef:UniRef50_A8G7R9
contig_1	cds	17476	19137	+	OBDLAM_00021	932.0	0.0	1.0	0.939	0.875	UniRef:UniRef50_B7LK27
contig_1	cds	19134	19850	-	OBDLAM_00022	384.0	1.7e-135	0.836	1.0	0.985	UniRef:UniRef50_A0A222AKD4
contig_1	cds	20146	21762	+	OBDLAM_00023	1040.0	0.0	1.0	0.861	0.998	UniRef:UniRef50_P31452
contig_1	cds	21762	22400	+	OBDLAM_00024	337.0	2.7e-117	0.830	0.822	0.932	UniRef:UniRef50_P31450
contig_1	cds	22400	22576	+	OBDLAM_00025	-	-	-	-	-	-
contig_1	cds	22573	23466	-	OBDLAM_00026	537.0	3.6e-193	0.987	0.880	0.874	UniRef:UniRef50_P31449
contig_1	cds	23633	25348	+	OBDLAM_00027	1071.0	0.0	0.989	0.869	0.984	UniRef:UniRef50_P31448
contig_1	cds	25345	26838	+	OBDLAM_00028	596.0	3.9e-210	1.016	0.988	0.560	UniRef:UniRef50_P31447
contig_1	cds	26885	27334	-	OBDLAM_00029	-	-	-	-	-	-
contig_1	cds	27442	27789	+	OBDLAM_00030	119.0	4.2e-34	0.878	0.821	0.594	UniRef:UniRef50_H5V1T0
contig_1	cds	27779	28141	+	OBDLAM_00031	221.0	5.2e-74	0.933	0.812	0.991	UniRef:UniRef50_Q329D7
contig_1	cds	28138	28635	+	OBDLAM_00032	163.0	3.9e-50	0.982	0.959	0.506	UniRef:UniRef50_B7LK21
contig_1	cds	28643	29827	-	OBDLAM_00033	471.0	1.3e-164	0.990	1.0	0.628	UniRef:UniRef50_D2U3C7
contig_1	cds	30107	30196	-	OBDLAM_00034	39.3	6.1e-05	0.862	0.806	1.0	UniRef:UniRef50_A5A627
contig_1	ncRNA	30502	30631	+	OBDLAM_00035	150.2	1.7e-25	-	-	-	RFAM:RF01400
contig_1	cds	30761	30859	+	OBDLAM_00036	52.0	6.5e-10	1.0	1.0	1.0	UniRef:UniRef50_P03061
contig_1	cds	30965	32653	+	OBDLAM_00037	636.0	1.4e-223	0.984	0.914	0.588	UniRef:UniRef50_A0A4U9D5U1
