Assembly	ar0346
# contigs (>= 0 bp)	3
# contigs (>= 1000 bp)	3
# contigs (>= 5000 bp)	3
# contigs (>= 10000 bp)	3
# contigs (>= 25000 bp)	3
# contigs (>= 50000 bp)	3
Total length (>= 0 bp)	4885435
Total length (>= 1000 bp)	4885435
Total length (>= 5000 bp)	4885435
Total length (>= 10000 bp)	4885435
Total length (>= 25000 bp)	4885435
Total length (>= 50000 bp)	4885435
# contigs	3
Largest contig	4718281
Total length	4885435
GC (%)	50.68
N50	4718281
N90	4718281
auN	4559831.6
L50	1
L90	1
# N's per 100 kbp	0.00
