#Annotated with Bakta v1.11.4, https://github.com/oschwengers/bakta
#Database v6.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_1	3	98	+	KOIAIB_00001	3.3	6.3		
contig_1	5234	5530	+	KOIAIB_00005	11.4	10.2		
contig_1	11382	11786	-	KOIAIB_00012	14.5	7.7		
contig_1	16580	16720	+	KOIAIB_00017	5.3	12.0		
contig_1	34300	34695	+	KOIAIB_00035	15.4	9.0		
contig_1	59121	59279	+	KOIAIB_00058	5.7	6.2		
contig_1	77388	77519	+	KOIAIB_00074	5.3	8.0		
contig_1	129407	131260	-	KOIAIB_00123	69.4	8.6		
contig_1	213678	213938	-	KOIAIB_00198	9.7	4.6		
contig_1	220968	221621	-	KOIAIB_00209	23.3	10.1		
contig_1	231926	232549	+	KOIAIB_00222	23.0	5.8	PF08241.18|Methyltransf_11, PF08242.18|Methyltransf_12, PF13489.12|Methyltransf_23, PF13649.12|Methyltransf_25, PF13847.12|Methyltransf_31	PFAM:PF08241.18, PFAM:PF08242.18, PFAM:PF13489.12, PFAM:PF13649.12, PFAM:PF13847.12
contig_1	238746	239084	-	KOIAIB_00231	12.1	5.7		
contig_1	246835	247461	+	KOIAIB_00241	24.4	9.5		
contig_1	250192	250827	+	KOIAIB_00246	23.8	6.9		
contig_1	252787	253161	+	KOIAIB_00250	14.5	9.3	PF13508.13|Acetyltransf_7, PF13673.13|Acetyltransf_10	PFAM:PF13508.13, PFAM:PF13673.13
contig_1	258734	259006	+	KOIAIB_00258	10.8	4.9	PF07417.17|Crl	PFAM:PF07417.17
contig_1	263108	263212	-	KOIAIB_00263	3.8	4.2		
contig_1	266110	266967	-	KOIAIB_00271	33.0	8.6	PF05225.22|HTH_psq, PF08220.18|HTH_DeoR, PF20494.3|YfjS_YafY	PFAM:PF05225.22, PFAM:PF08220.18, PFAM:PF20494.3
contig_1	272016	272255	+	KOIAIB_00277	8.9	7.7		
contig_1	275159	275248	+	KOIAIB_00280	3.4	12.0		
contig_1	314357	315244	+	KOIAIB_00322	33.2	7.8	PF11924.14|IAT_beta	PFAM:PF11924.14
contig_1	316450	317136	-	KOIAIB_00325	27.1	9.0	PF00165.29|HTH_AraC, PF12833.13|HTH_18	PFAM:PF00165.29, PFAM:PF12833.13
